ID,年份,地区,行政区划代码,所属省份,所属地域,长江经济带,专利申请总量,专利申请_发明专利,专利申请_实用新型,专利申请_外观设计,专利授权总量,专利授权_发明专利,专利授权_实用新型,专利授权_外观设计,Unnamed: 15
1,2000,北京市,110000,北京市,东部,0,7827,3074,3427,1326,5587,1017,3367,1203,
2,2001,北京市,110000,北京市,东部,0,9481,4558,3589,1334,6029,1121,3487,1421,
3,2002,北京市,110000,北京市,东部,0,11709,5994,4325,1390,5913,953,3558,1402,
4,2003,北京市,110000,北京市,东部,0,12971,6789,4616,1566,7438,2206,3918,1314,
5,2004,北京市,110000,北京市,东部,0,14914,8270,4705,1939,8668,3166,3869,1633,
6,2005,北京市,110000,北京市,东部,0,18752,11482,5381,1889,9501,3335,4393,1773,
7,2006,北京市,110000,北京市,东部,0,22056,13418,6361,2277,10580,3930,5167,1483,
8,2007,北京市,110000,北京市,东部,0,27758,17617,7372,2769,14024,4582,7210,2232,
9,2008,北京市,110000,北京市,东部,0,37963,25630,9444,2889,17263,6252,8687,2324,
10,2009,北京市,110000,北京市,东部,0,44241,26690,13381,4170,22175,9085,9791,3299,
11,2010,北京市,110000,北京市,东部,0,52855,32062,16404,4389,31545,10426,15340,5779,
12,2011,北京市,110000,北京市,东部,0,64228,39802,19607,4819,39601,15219,19417,4965,
13,2012,北京市,110000,北京市,东部,0,81157,49285,26512,5360,43784,19613,19243,4928,
14,2013,北京市,110000,北京市,东部,0,103260,62533,34633,6094,62131,21472,34746,5913,
15,2014,北京市,110000,北京市,东部,0,125859,73004,42745,10110,72561,22930,42513,7118,
16,2015,北京市,110000,北京市,东部,0,144542,83406,47798,13338,91028,32882,45685,12461,
17,2016,北京市,110000,北京市,东部,0,166620,96106,54113,16401,102294,41418,45362,15514,
18,2017,北京市,110000,北京市,东部,0,178936,101925,59691,17320,106936,46090,46004,14842,
19,2018,北京市,110000,北京市,东部,0,201749,119825,61833,20091,123479,46994,59213,17272,
20,2019,北京市,110000,北京市,东部,0,222092,132254,68446,21392,131692,53124,58393,20175,
21,2020,北京市,110000,北京市,东部,0,254737,149710,83237,21790,162792,63252,75328,24212,
22,2021,北京市,110000,北京市,东部,0,277605,173330,81387,22888,198764,79197,96075,23492,
23,2022,北京市,110000,北京市,东部,0,269219,171011,77491,20717,202716,88126,91943,22647,
24,2023,北京市,110000,北京市,东部,0,153985,114577,31860,7548,193981,107884,68902,17195,
25,2000,天津市,120000,天津市,东部,0,1997,452,1108,437,1490,161,912,417,
26,2001,天津市,120000,天津市,东部,0,2428,842,1219,367,1673,117,1134,422,
27,2002,天津市,120000,天津市,东部,0,4142,2058,1487,597,1691,94,1125,472,
28,2003,天津市,120000,天津市,东部,0,5635,3378,1759,498,2253,231,1441,581,
29,2004,天津市,120000,天津市,东部,0,6003,3715,1634,654,2436,431,1548,457,
